Drug[UMLS_CUI];DrugTargets[EntrezGene];Disease[UMLS_CUI];DiseaseProteins[EntrezGene]
"[""C0004259"",""C0012125"",""C0005098"",""C0017970""]";[1128,1129,1131,1132,1133];"""C0000737""";3440
"[""C0537147"",""C0072916""]";3360;"""C0000737""";3440
"[""C0291772"",""C0061851""]";3359;"""C0000737""";3440
"[""C0039736"",""C1144149""]";51185;"""C0000768""";[156,1295,1317,2138,2332,2348,4851,6299,6495,9314,10683]
"[""C0169964"",""C0143083""]";2690;"""C0000768""";[156,1295,1317,2138,2332,2348,4851,6299,6495,9314,10683]
"""C0012472""";[5731,5732,5733,5734];"""C0000786""";[185,251,348,405,634,924,925,968,969,1048,1277,1278,1288,1289,1290,1291,1293,1298,1305,1440,1543,1591,1719,1842,1893,2012,2252,2335,2537,2744,3026,3292,3430,3446,3479,3481,3484,3486,3489,3553,3568,3569,3578,3589,3593,3603,3623,3627,3691,3694,3717,3732,3910,3958,3976,4133,4247,4256,4316,4320,4321,4324,4327,4585,4680,4684,5047,5228,5618,5655,5740,5744,5950,6317,6318,6750,7037,7040,7045,7046,7077,7078,7143,7185,8741,8743,8763,8832,9332,10321,10468,10561,10615,10666,10824,11009,22924,23753,23767,26998,27159,51554,53832,56145,56547,56891,59272,80034]
"""C0025760""";[1812,3357];"""C0000786""";[185,251,348,405,634,924,925,968,969,1048,1277,1278,1288,1289,1290,1291,1293,1298,1305,1440,1543,1591,1719,1842,1893,2012,2252,2335,2537,2744,3026,3292,3430,3446,3479,3481,3484,3486,3489,3553,3568,3569,3578,3589,3593,3603,3623,3627,3691,3694,3717,3732,3910,3958,3976,4133,4247,4256,4316,4320,4321,4324,4327,4585,4680,4684,5047,5228,5618,5655,5740,5744,5950,6317,6318,6750,7037,7040,7045,7046,7077,7078,7143,7185,8741,8743,8763,8832,9332,10321,10468,10561,10615,10666,10824,11009,22924,23753,23767,26998,27159,51554,53832,56145,56547,56891,59272,80034]
"[""C0045010"",""C0025147"",""C0033308"",""C0025175"",""C0028356"",""C0023566"",""C0057558"",""C0057916""]";5241;"""C0000786""";[185,251,348,405,634,924,925,968,969,1048,1277,1278,1288,1289,1290,1291,1293,1298,1305,1440,1543,1591,1719,1842,1893,2012,2252,2335,2537,2744,3026,3292,3430,3446,3479,3481,3484,3486,3489,3553,3568,3569,3578,3589,3593,3603,3623,3627,3691,3694,3717,3732,3910,3958,3976,4133,4247,4256,4316,4320,4321,4324,4327,4585,4680,4684,5047,5228,5618,5655,5740,5744,5950,6317,6318,6750,7037,7040,7045,7046,7077,7078,7143,7185,8741,8743,8763,8832,9332,10321,10468,10561,10615,10666,10824,11009,22924,23753,23767,26998,27159,51554,53832,56145,56547,56891,59272,80034]
"""C0000608""";[5327,5340];"""C0000832""";[635,4522,4846]
"[""C0002502"",""C0040869""]";6337;"""C0001122""";389015
