Drugbank.ID;DrugTargets;MeSH.ID;DiseaseProteins
DB00322;[7298];D000230;[5290, 7030, 84925, 7157, 5546, 116093, 324, 4968, 1033, 51201, 4841, 79663, 55193, 8312, 4233, 11236, 2271, 6421, 6392, 201163, 5979, 9516, 79058, 57509, 7428, 595, 8082, 3119, 3118, 949, 3709, 2034, 267015, 390218, 23095, 4276]
DB00530;[1956, 8856];D000230;[5290, 7030, 84925, 7157, 5546, 116093, 324, 4968, 1033, 51201, 4841, 79663, 55193, 8312, 4233, 11236, 2271, 6421, 6392, 201163, 5979, 9516, 79058, 57509, 7428, 595, 8082, 3119, 3118, 949, 3709, 2034, 267015, 390218, 23095, 4276]
DB00317;[1956];D000232;[5290, 7030, 84925, 7157, 5546, 116093, 324, 4968, 1033, 51201, 4841, 79663, 55193, 8312, 4233, 11236, 2271, 6421, 6392, 201163, 5979, 9516, 79058, 57509, 7428, 595, 8082, 3119, 3118, 949, 3709, 2034, 267015, 390218, 23095, 4276]
DB00674;[590, 1140, 1138, 1146, 1144, 1143, 1145, 1137, 43, 1135, 1136, 1141, 1139, 1134];D000232;[55103, 2629, 7305, 9627, 4535, 4536, 54209, 5663, 351, 5664, 5071, 348, 4973, 339761, 10452, 274, 8301, 283226, 10347, 338399, 1191, 51435, 344558, 643680, 10913, 25902, 1378, 341, 23607, 9846, 23036, 64231, 2041, 945, 5819, 51338]
DB01043;[2903, 3359, 116443, 2904];D000232;[55103, 2629, 7305, 9627, 4535, 4536, 54209, 5663, 351, 5664, 5071, 348, 4973, 339761, 10452, 274, 8301, 283226, 10347, 338399, 1191, 51435, 344558, 643680, 10913, 25902, 1378, 341, 23607, 9846, 23036, 64231, 2041, 945, 5819, 51338]
DB00163;[5579, 5578, 1606, 240, 284904, 23541, 5515, 8856, 5516];D000232;[55103, 2629, 7305, 9627, 4535, 4536, 54209, 5663, 351, 5664, 5071, 348, 4973, 339761, 10452, 274, 8301, 283226, 10347, 338399, 1191, 51435, 344558, 643680, 10913, 25902, 1378, 341, 23607, 9846, 23036, 64231, 2041, 945, 5819, 51338]
DB00843;[3356, 43];D000232;[55103, 2629, 7305, 9627, 4535, 4536, 54209, 5663, 351, 5664, 5071, 348, 4973, 339761, 10452, 274, 8301, 283226, 10347, 338399, 1191, 51435, 344558, 643680, 10913, 25902, 1378, 341, 23607, 9846, 23036, 64231, 2041, 945, 5819, 51338]
DB00989;[590, 43];D000232;[55103, 2629, 7305, 9627, 4535, 4536, 54209, 5663, 351, 5664, 5071, 348, 4973, 339761, 10452, 274, 8301, 283226, 10347, 338399, 1191, 51435, 344558, 643680, 10913, 25902, 1378, 341, 23607, 9846, 23036, 64231, 2041, 945, 5819, 51338]
DB01037;[4129, 4128];D000232;[55103, 2629, 7305, 9627, 4535, 4536, 54209, 5663, 351, 5664, 5071, 348, 4973, 339761, 10452, 274, 8301, 283226, 10347, 338399, 1191, 51435, 344558, 643680, 10913, 25902, 1378, 341, 23607, 9846, 23036, 64231, 2041, 945, 5819, 51338]
DB00740;[23657, 6331];D000690;[6647, 57679, 2521, 10133, 54822, 9217, 55277, 1639, 4744, 23064, 9896, 6311, 23435, 7415, 283, 29978, 203228, 1804, 79970, 7074, 998, 23025, 22920, 56832, 155061, 203228]
DB00158;[2350];D000740;[212, 7056, 629, 10661, 3426, 6125, 6708, 2038, 3040, 3043, 7015, 6165, 2821, 5277, 146059, 22, 50943, 1719, 79728, 6204, 6223, 2035, 546, 6201, 2175, 2176, 2178, 6229, 4891, 100505503, 2177, 2623, 203, 718, 10560, 2729, 55215, 6521, 8029, 2187, 3075, 286, 2189, 81693, 6710, 4683, 10483, 3039, 55120, 4179, 51251, 6135, 164656, 2539, 80324, 3098, 3458, 6231, 81494, 6218, 3704]
